gymid,name,ward1920,type,location,long,lat,gymnasium attendance,gymnasium attendance 2
SBG,St. Botolph Gymnasium,,private,,-71.07757923,42.35037089,,
PG,Possee Gymnasium,,private,,-71.10509057,42.34655629,,
LG,Lundin's Gymnasium,,private,,-71.08177618,42.34674302,,
LH,Lincoln House,,private,,-71.0672647,42.3645178,,
EBGY,E.B. Gymnasium,,private,,-71.03648116,42.37753545,,
DYWCA,Durant YWCA Gymnasium,,private,,-71.0725998,42.34773446,,
BEC,Butler Exercise Club,,private,,-71.07105262,42.30605842,,
BYMCA1,Boston Young Men's Christian Union,,private,,-71.06690902,42.35317627,,
BYMCA2,Boston Young Men's Christian Association,,private,,-71.09086363,42.34182139,,
CSG,Cabot Street Gymnasium,13,public,,-71.0888989,42.3332405,,"14,21,7,36,60,48,24,42,30,54,66,96,102,90,78,72,84,143,150,108,136,122,129,115,164,182,200,155,209,191,173,296,336,286,326,306,316,216,226,246,276,236,256,266,391,361,371,401,381,351,478,495,505,515,525,535,545,416,425,434,443,452,461"
CHG,Curtis Hall Gymnasium,22,public,South St Corner of Sedgwick St,-71.1156935,42.308843,,"171,207,180,214,189,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
DSG,D Street Gymnasium,9,public,"D street at Commonwealth Park, South Boston",-71.04763385,42.34443319,1,"1,148,58,272,134,100,232,353,15,403,338,22,373,298,383,252,242,113,282,120,222,64,88,8,262,206,188,197,52,40,94,308,328,179,170,70,127,288,28,318,46,82,161,106,76,34,393,141,363,418,427,436,445,454,463,487,497,507,517,527,537,547"
PSG,East Boston/Paris Street Gymnasium,2,public,Paris street,-71.037688,42.3726529,,"2,9,126,112,140,154,133,147,119,178,196,160,187,169,213,205,289,299,329,319,309,339,281,251,231,221,271,261,241,384,404,354,364,374,394,493,503,513,523,533,543,553"
NBG,North Bennet Street Gymnasium,5,public,"North Bennet street at playground, city proper",-71.0542792,42.3653301,,"13,6,20,49,61,37,25,43,31,55,91,85,73,67,97,79,103,130,151,109,144,116,137,123,174,156,201,183,210,192,165,330,340,310,290,320,300,267,227,237,257,217,277,247,365,395,385,405,355,375,494,504,514,524,534,544,554"
BHG,Bunker Hill Gym,4-Mar,public,Bunker Hill and Lexington street,-71.05912,42.377783,,"199,172,181,215,208,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
TSG,Tyler Street Gymnasium,5,public,75 Tyler street ,-71.0637692,42.3491565,,"11,18,4,56,44,38,32,26,50,62,74,92,98,104,68,80,86,131,110,124,152,145,117,138,167,203,185,194,176,158,342,292,332,322,302,312,229,259,249,279,219,269,239,397,377,357,407,367,387,490,500,510,520,530,540,550,421,430,439,448,457,466"
HPG,Harison Ave & Plympton Rd Gym,6,public,Harrison avenue and Plympton street,-71.0713215,42.3397716,,"19,5,12,27,39,45,51,63,33,57,93,75,105,81,99,69,87,153,139,111,118,125,132,146,159,212,204,168,177,186,195,343,333,323,303,348,313,293,220,250,260,240,280,270,230,413,358,368,398,378,408,388,422,431,440,449,458,467"
CRG,Columbia Road Gymnasium,17/16,public,"Columbia road near upham's corner, dorchester",-71.067539,42.3140824,,"17,10,3,23,59,29,47,53,35,41,101,71,65,83,95,77,89,128,135,114,142,149,107,121,166,211,184,157,175,193,202,350,325,295,335,345,315,305,258,238,278,218,268,228,248,360,380,410,400,370,390,415,492,502,512,522,532,542,552,424,433,442,451,460,469,474"
VSG,Vine Street Gymnasium,12,public,"Dudley and Vine Streets, Roxburg",-71.0764967,42.3269967,,"314,334,324,344,294,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
RG,Roslindale Building,23,public,"Ashland and Washington streets, Roslindale",-71.1288282,42.2864658,,"488,498,508,518,528,000,000,000,000,000,000,000,000,000"
