id,name,location-name,year,attendance
1,Ashmont Playground,Ashmont Playground,1915,118811
2,Billings Field,Billings Field,1915,86812
3,Columbus Avenue Playground,Columbus Avenue Playground,1915,129130
4,Cottage Street Playground,Cottage Street Playground,1915,138383
5,Charlestown Playground,Charlestown Playground,1915,197209
6,"""Charlesbank, Women's gymnasium""","Charlesbank, Women's gymnasium",1915,1915
7,"""Charlesbank, men's gymnasium""","Charlesbank, men's gymnasium",1915,144108
8,Commonwealth Park,Commonwealth Park,1915,130575
9,Dorchester Park,Dorchester Park,1915,8362
10,Forest Hills Playground,Forest Hills Playground,1915,181826
11,Franklin Field,Franklin Field,1915,275297
12,First Street Playground,First Street Playground,1915,294449
13,Gibson Playground,Gibson Playground,1915,258325
14,John Winthrop Playground,John Winthrop Playground,1915,39400
15,Marcella Street Playground,Marcella Street Playground,1915,295243
16,Mystic Playground,Mystic Playground,1915,80613
17,Norfolk Street Playground,Norfolk Street Playground,1915,85001
18,Neponset Playground,Neponset Playground,1915,135771
19,North Brighton Playground,North Brighton Playground,1915,177655
20,Orient Heights Playground,Orient Heights Playground,1915,44290
21,Roslindale Playground,Roslindale Playground,1915,162453
22,Randolph Street Playground,Randolph Street Playground,1915,115066
23,Ripley Playground ,Ripley Playground ,1915,15232
24,Ronan Park,Ronan Park,1915,22425
25,Strandway,Strandway,1915,257525
26,Savin Hill Playground,Savin Hill Playground,1915,72860
27,William Eustis Playground ,William Eustis Playground ,1915,295071
28,West Fifth Street Playground,West Fifth Street Playground,1915,88370
29,West Third Street Playground,West Third Street Playground,1915,57070
30,Wood Island Park,Wood Island Park,1915,100245
31,Ward 5 Playground,Ward 5 Playground,1915,8001
32,Ashmont Playground,Ashmont Playground,1916,55546
33,Billings Field,Billings Field,1916,47903
34,Columbus Avenue Playground,Columbus Avenue Playground,1916,105652
35,Cottage Street Playground,Cottage Street Playground,1916,138878
36,Charlestown Playground,Charlestown Playground,1916,186289
37,"""Charlesbank, Women's gymnasium""","Charlesbank, Women's gymnasium",1916,114942
38,"""Charlesbank, men's gymnasium""","Charlesbank, men's gymnasium",1916,86619
39,Commonwealth Park,Commonwealth Park,1916,82660
40,Dorchester Park,Dorchester Park,1916,32734
41,Forest Hills Playground,Forest Hills Playground,1916,111055
42,Franklin Field,Franklin Field,1916,248682
43,First Street Playground,First Street Playground,1916,196420
44,Gibson Playground,Gibson Street Playground,1916,172235
45,John Winthrop Playground,John Winthrop Playground,1916,52600
46,Marcella Street Playground,Marcella Street Playground,1916,263953
